Identifier / Formula,Name,rank 1,rank 2,rank 3,rank 4,rank 5,rank 6,rank 7,rank 8,rank 9,rank 10
\mathbf{F} = q(\mathbf{E} + \mathbf{v} \times \mathbf{B}).,electromagnetic force (Q849919),Lorentz Force,Electromagnetic Force Law,Maxwell's Force Equation,Fizeau-Lorentz Force Law,Classical Electrodynamics Force,Vector Potential Force,Electromagnetic Momentum Force,Coulomb's Electric Field Force,Biot-Savart Force Equation,Gauss's Flux Density Force
"\mathbf{P} = m\mathbf{\mathbf{v}} + q\mathbf{A},",momentum of electron (N/A),Lorentz Force Equation,Electromagnetic Force Equation,Poynting Vector Equation,Maxwell's Stress Tensor Equation,Electrodynamic Momentum Equation,Field Momentum Equation,Potential Energy-Momentum Equation,Acceleration-Force Equation,Kinetic-Electromagnetic Equation,Magnetostatic Momentum Equation
\mathbf{P} = \gamma m\mathbf{\mathbf{v}} + q\mathbf{A}.,momentum of electron (N/A),Momentum equation,Lorentz force equation,Force-momentum relation,Poynting's momentum equation,Energy-momentum equation,Canonical momentum equation,Poincare momentum equation,Hamiltonian momentum equation,Momentum-energy conservation law,Einstein-Lorentz force equation
"\mathbf{g} = \frac{1}{\mu_0 c^2}\mathbf{E}\times\mathbf{B}\,,",momentum (Q41273),Lorentz Force Law,Electromotive Force,Maxwell Stress Tensor,Poynting Vector,Electromagnetic Induction,Magnetomotive Force,Ampere-Maxwell Equation,Minkowski Tensor,Faraday's Law of Induction,Biot-Savart Law
F_c = ma_c = \frac{m v^2}{r},centripetal force (Q172881),Centrifugal Force,Rotational Inertia,Radial Acceleration,Angular Momentum,Centripetal Acceleration,Orbital Velocity,Planetary Inertia,"Gravitational Acceleration (note: this is a special case, as the formula doesn't explicitly mention gravity)",Circular Motion Force,Radial Equilibrium
a_c = \frac{v}{t}\hat{r} = \frac{r\omega}{t}\hat{r} = v\omega = \frac{v^2}{r},centripetal acceleration (Q2248131),Angular Velocity,Rotational Speed,Orbital Velocity,Specific Angular Momentum,Radial Component of Velocity,Moment of Inertia,Centripetal Acceleration,Circular Velocity,Planetary Rotation Rate,Translational Velocity Magnitude
v = \omega r,tangential velocity (N/A),Centrifugal Acceleration Equation,Rotational Speed Formula,Angular Velocity Formula,Circular Motion Equation,Radius-Velocity Relationship,Spin Speed Law,Orbital Velocity Formula,Planetary Motion Equation,Radian Frequency Formula,Polar Velocity Equation
"F_c = m r \omega^2 \,.",centripetal force (Q172881),Centripetal Force,Circular Motion Force,Rotational Inertia Force,Angular Velocity Force,Centrifugal Force (F_c),Orbital Force Formula,Planar Motion Force,Polar Coordinate Force,Radial Acceleration Force,Torque-Related Force
"\omega = \frac{2\pi}{T} \,",angular velocity (Q161635),Angular Frequency,Angular Speed,Circular Frequency,Rotational Frequency,Radial Velocity,Wave Number,Cyclic Frequency,Periodic Rate,Oscillatory Frequency,Harmonic Rate
F_c = m r \left(\frac{2\pi}{T}\right)^2.,centripetal force (Q172881),Centripetal Force,Rotational Acceleration,Angular Frequency,Periodic Force,Circular Motion Force,Rotational Kinetic Energy,Orbital Acceleration,Harmonic Oscillation Force,Radian Frequency Force,Gyroscopic Force
\gamma = \frac{1}{\sqrt{1-\frac{v^2}{c^2}}},Lorentz factor (Q599404),Lorentz Factor,Gamma Factor,Time Dilation Factor,Lorentz Transformation Factor,Relativistic Mass Correction,Lorentz Factor Function,Gamma Function (special case),Special Relativity Factor,Velocity Factor in SR,Lorentz-Gamma Transformation
F_c = \frac{\gamma m v^2}{r},centripetal force (Q172881),Centrifugal Force,Rotational Energy,Gravitomagnetic force,Geodesic equation (in some contexts),Lense-Thirring Precession,Frame-Dragging force,Kerr energy,Rotational Potential,Angular Momentum Tensor,Vortex energy
F_c = \gamma m v \omega,centripetal force (Q172881),Lorentz Force Law,Cyclotron Radiation Formula,Gamma Ray Interaction Equation,Mass Spectrometry Formula,Cyclotron Frequency Formula,Gyroradius Equation,Charged Particle Trajectory,Magnetic Moment Formula,Cyclotron Energy Loss Rate,Relativistic Centripetal Force
\textbf{r} = r \cos(\theta) \hat{x} + r \sin(\theta) \hat{y}.,position (N/A),Polar Coordinates,Position Vector,Unit Vector in x-direction,Radial Component,Cartesian Coordinate Transformation,Parametric Equation of a Circle,Vector Representation of r and θ,Rectangular to Polar Conversion Formula,Position Vector in Polar Form,Spherical Polar Coordinates
\textbf{r} = r \cos(\omega t) \hat{x} + r \sin(\omega t) \hat{y},position (N/A),Position Vector,Oscillating Vibration,Circular Motion Equation,Angular Displacement,Rotational Harmonics,Periodic Trajectory,Polarized Wave Function,Coordinate Oscillator,Radian Shift Equation,Cartesian Oscillation
\dot{\textbf{r}} = \textbf{v} = - r \omega \sin(\omega t) \hat{x} + r \omega \cos(\omega t) \hat{y},velocity (Q11465),Circular Motion Formula,Centripetal Acceleration Equation,Rotational Velocity Formula,Angular Velocity Component,Radial Acceleration Expression,Oscillatory Motion Equation,Harmonic Motion Formula,Polar Coordinate Motion,Rotational Kinematics Equation,Euler's Rotational Formula
\ddot{\textbf{r}} = \textbf{a} = - r \omega^2 \cos(\omega t) \hat{x} - r \omega^2 \sin(\omega t) \hat{y},acceleration (Q11376),Simple Harmonic Motion,Circular Motion,Oscillatory Motion,Radial Acceleration Formula,Polar Coordinate Transformation,Rotational Kinematics Equation,Angular Frequency Equation,Harmonic Oscillator Equation,Two-Dimensional Pendulum Equation,Euler-Lagrange Equations
\textbf{a} = - \omega^2 (r \cos(\omega t) \hat{x} + r \sin(\omega t) \hat{y}),acceleration (Q11376),OscillationEquation,HarmonicMotionEquation,SHMEquation,CircularMotionEquation,RotationalEquation,PlanarOscillatorEquation,SimpleHarmonicMotionEquation,AngularFrequencyEquation,DampedSHMEquation,LinearizedOscillationEquation
\textbf{a} = - \omega^2 \textbf{r}.,acceleration (Q11376),Equation of Motion,Simple Harmonic Oscillator Equation,Damped Oscillation Formula,Pendulum Equation,Linear Oscillator Equation,SHM (Simple Harmonic Motion) Equation,Undamped Oscillation Formula,Newton's Second Law for SHO,Harmonic Oscillator Equation,Linear Damping Formula
"|\mathbf{\Omega}| = \frac {\mathrm{d} \theta } {\mathrm{d}t} = \omega \ ,",angular velocity (Q161635),Angular Velocity,Solid Angle,Rotational Speed,Spin Frequency,Vorticity Magnitude,Omega Formula,Rotational Kinematics,Angular Momentum Rate,Pseudo-Spin Coefficient,Gyroscopic Invariant
\mathbf{v}\ \stackrel{\mathrm{def}}{ = }\ \frac {\mathrm{d} \mathbf{r}}{\mathrm{d}t} = \frac {\mathrm{d}\mathbf{\boldsymbol{\ell}}}{\mathrm{d}t} = \mathbf {\Omega} \times \mathbf{r}(t)\ .,velocity (Q11465),Angular Velocity,Rotational Velocity,Omega Cross Product,Rotation Vector,Angular Momentum Derivative,Omega Times R,Material Derivative of Position,Time Derivative of Displacement,Vorticity Field,Body Fixed Coordinate Velocity
\mathbf{a}\ \stackrel{\mathrm{def}}{ = }\ \frac {\mathrm{d} \mathbf{v}} {d\mathrm{t}} = \mathbf {\Omega} \times \frac{\mathrm{d} \mathbf{r}(t)}{\mathrm{d}t} = \mathbf{\Omega} \times \left[ \mathbf {\Omega} \times \mathbf{r}(t)\right] \ .,Circular acceleration (N/A),Angular velocity,Vorticity,Curl of velocity,Rotation vector,Spin tensor,Body-fixed angular momentum,Rotational velocity,Relative angular velocity,Instantaneous angular velocity,Rotor
|\mathbf{a}| = |\mathbf{r}(t)| \left ( \frac {\mathrm{d} \theta}{\mathrm{d}t} \right) ^2 = r {\omega}^2\,acceleration (Q11376),Kepler's Second Law,Centrifugal Acceleration Formula,Angular Velocity Formula,Polar Radial Speed Formula,Planetary Motion Equation,Rotational Kinematics Formula,Orbital Velocity Formula,"Rutherford's Formula (not directly related, but might be a stretch)",Euler-Lagrange Equation (a bit of a stretch),Non-Uniform Circular Motion Formula
|\mathbf{F}_\mathrm{h}| = m |\mathbf{g}| \frac { \mathrm{sin}\ \theta}{ \mathrm {cos}\ \theta} = m|\mathbf{g}| \mathrm{tan}\ \theta \ .,force (Q11402),Weighted Tangential Component Formula,Horizontal Force Magnitude Equation,Gravity Weighted Traction Formula,Normalized Angle Dependence Law,Weight Function in Gravitational Field,Horizontal Acceleration Relation,Sine Over Cosine Ratio Rule,Gravity Weighted Slope Factor,Planar Projection Inertia Rule,Tangential Component Magnitude Equation
|\mathbf{F}_\mathrm{c}| = m |\mathbf{a}_\mathrm{c}| = \frac{m|\mathbf{v}|^2}{r} \ .,force (Q11402),Centripetal Force,Centrifugal Acceleration,Circular Motion Acceleration,Tangential Velocity Formula,Orbital Angular Momentum,Rotational Kinetic Energy,Radial Acceleration Formula,Centroidal Moment of Inertia,Euler's Centrifugal Force,Gyroscopic Effect
} \mathbf{,velocity (Q11465),Brauer Group,Derived Category,Kähler Manifold,Picard Group,Weil Cohomology,Chow Ring,Clifford Algebra,Witt Vector,Dirac Operator,Hodge Conjecture
\mathbf{v} = r \frac {\mathrm{d} \mathbf{u}_\mathrm{r}}{\mathrm{d}t} = r \frac {\mathrm{d}}{\mathrm{d}t} \left( \mathrm{cos}\ \theta \ \mathbf{i} + \mathrm{sin}\ \theta \ \mathbf{j}\right),velocity (Q11465),Coriolis Acceleration,Rotational Velocity Gradient,Angular Momentum Rate of Change,Euler's Rotation Formula,Rotating Frame Derivative,Spatial Rate of Change in V,R-derivative of u-vector,Tangential Derivative of v,Relative Motion Acceleration Formula,Velocity Gradient Tensor
\mathbf{a} = r \left( \frac {\mathrm{d}\omega}{\mathrm{d}t} \mathbf{u}_\mathrm{\theta} - \omega^2 \mathbf{u}_\mathrm{r} \right) \ .,acceleration (Q11376),Coriolis acceleration,Angular momentum formula,Radial acceleration,Rotational velocity vector,Euler's equation for rotating frame,Centrifugal acceleration,Angular velocity formula,Polar coordinate derivative,Rotating reference frame dynamics,Frenet-Serret formulas
\mathbf{a}_{\mathrm{r}} = - \omega^{2} r \ \mathbf{u}_\mathrm{r} = - \frac{|\mathbf{v}|^{2}}{r} \ \mathbf{u}_\mathrm{r} \,acceleration (Q11376),Radial Acceleration Formula,Centrifugal Force Equation,Orbital Velocity Formula,Angular Frequency Equation,R radial Acceleration Vector,Inertial Frame of Reference,Radial Unit Vector Definition,Rotational Kinematics Equation,Planar Motion Dynamics Formula,Keplerian Orbit Equation
"\omega = {{2 \pi} \over T} = {2 \pi f} ,",angular frequency (Q834020),AngularFrequency,OmegaFormula,AngularVelocityFormula,CircadianFrequency,AngularFreq,WavelengthFormula,RotationFrequency,CyclePeriodicity,WaveNumberFormula,PhaseVelocity
2\pi r,circumference (Q843905),Circumference,Circle circumference,Circular perimeter,Circle perimeter,Perimeter of circle,Circle circum,Circle arc length,Circular path length,Rotational distance,Annulus area
\omega = v/r.,frequency (Q11652),Centrifugal Factor,Rotational Speed Ratio,Angular Velocity Coefficient,Radial Velocity Constant,Circular Frequency Factor,Orbital Period Ratio,Planetary Motion Index,Spin Rate Proportionality,Gyroscopic Effect Coefficient,Synchronous Rotation Scale
"a = -\omega^2 x,",acceleration (Q11376),Simple Harmonic Motion Equation,SHM Equation,Oscillatory Equation,Damped Oscillator Equation,Forced Damped Oscillation Formula,Transverse Oscillation Formula,Linear Simple Harmonic Motion Formula,Frequency Dependent Oscillation Equation,Harmonic Motion Kinematics Equation,Generalized SHM Equation
a = -4 \pi^2 f^2 x.,acceleration (Q11376),Wavelength,Wave_number,Frequency_squared,Planck_frequency,Spatial_wavefunction,Dispersion_relation,Optical_dispersion,Spectral_density,Quantum_harmonic_oscillator_energy,Einstein_dispersion
"\omega = \sqrt{\frac{k}{m}},",angular frequency (Q834020),Angular Frequency,Angular Velocity,Resonance Frequency,Eigenfrequency,Natural Frequency,Damping Frequency,Oscillation Frequency,Linear Frequency,Circular Frequency,Radial Frequency
\omega = \sqrt{\frac{1}{LC}}.,angular frequency (Q834020),Angular Frequency,Resonant Frequency,Oscillation Frequency,LC Cutoff Frequency,Angular Speed,Resonance Condition,Harmonic Frequency,Capacitance-Inductance Ratio,LCR Circuit Frequency,Rotational Frequency
"\boldsymbol \tau = \mathbf{r}\times \mathbf{F}\,\!",torque (Q48103),Cross Product Formula,Torque Formula,Angular Momentum Formula,Right Hand Rule Formula,Perpendicular Vector Formula,Triple Scalar Product Formula,Pseudovector Formula,Bivector Formula,Curl of a Vector Formula,Axial Vector Formula
"\tau = \|\mathbf{r}\|\,\|\mathbf{F}\|\sin \theta\,\!",torque (Q48103),Lenz Law,Lorentz Force Law,Torque Formula,Electric Dipole Moment,Magnetic Field Interaction,Angular Momentum Torque,Electromagnetic Interaction,Cross Product Magnitude,Electrostatic Potential Difference,Maxwell's Stress Tensor
"\boldsymbol{\tau} = \mathbf{r} \times \mathbf{F},",torque (Q48103),Cross product,Vector cross product,Curl operator,Exterior derivative,Wedge product,Bivector product,Axial vector product,Pseudovector product,Triple product formula,Lagrange-Curzon identity
"\tau = rF\sin\theta,\!",torque (Q48103),Torque,Rotational force,Angular momentum,Moment of force,Force moment,Polar moment,Linear momentum,Radian torque,Rotational impulse,Radial force moment
"\tau = rF_{\perp},",torque (Q48103),Shear Stress,Normal Force,Centripetal Force,Tension,Frictional Force,Torque Formula,Radial Component,Perpendicular Force,Moment of Force,Linear Momentum
\boldsymbol{\tau} = \frac{\mathrm{d}\mathbf{L}}{\mathrm{d}t},torque (Q48103),Angular Momentum,Torque (τ),Moment of Inertia (I),Rotational Kinetic Energy,Angular Velocity (ω),Rotational Kinematics,Newton-Euler Equations,Rotor Kinetics,Mechanical Action,Lagrangian Dynamics
"\boldsymbol{\tau}_{\mathrm{net}} = \frac{\mathrm{d}\mathbf{L}}{\mathrm{d}t} = \frac{\mathrm{d}(I\boldsymbol{\omega})}{\mathrm{d}t} = I\frac{\mathrm{d}\boldsymbol{\omega}}{\mathrm{d}t} + \frac{\mathrm{d}I}{\mathrm{d}t}\boldsymbol{\omega} = I\boldsymbol{\alpha} + \frac{\mathrm{d}(mr^2)}{\mathrm{d}t}\boldsymbol{\omega} = I\boldsymbol{\alpha} + 2rp_{||}\boldsymbol{\omega},",torque (Q48103),Angular Momentum,Net Torque,Moment of Inertia,Rotational Kinetic Energy,Euler's Equation,Newton-Euler Equations,Routh-Hurwitz Criterion,Lagrange's Equations,Hamiltonian Dynamics,Noether's Theorem
\mathbf{L} = \mathbf{r} \times \boldsymbol{p},angular momentum (N/A),Cross Product,Vector Cross Product,L is Perpendicular to r and p,Triple Product,Scalar Triple Product,Pseudovector Multiplication,R-Cross-P Multiplication,Levi-Civita Symbol Application,Skew-Symmetric Matrix Multiplication,Exterior Product
\frac{\mathrm{d}\mathbf{L}}{\mathrm{d}t} = \mathbf{r} \times \mathbf{F}_{\mathrm{net}} =  \boldsymbol{\tau}_{\mathrm{net}}.,torque (Q48103),Angular Momentum Equation,Torque-Equivalence Law,Rotational Dynamics Formula,Net Angular Momentum,Angular Acceleration Theorem,RHR (Right-Hand Rule) Equivalent,Moment of Force Equation,Spin-Angular Momentum Relation,Newton's Second Law for Rotation,Rotational Kinematics Identity
\frac{\mathrm{d}\mathbf{L}}{\mathrm{d}t} = \mathbf{r} \times \frac{\mathrm{d}\boldsymbol{p}}{\mathrm{d}t} + \frac{\mathrm{d}\mathbf{r}}{\mathrm{d}t} \times \boldsymbol{p}.,torque (Q48103),Angular Momentum Equation,Larmor Precession Formula,Torque and Precession Equation,Gyroscopic Effect Formula,Precessional Motion Equation,Rotational Kinematics Formula,Spin-Orbit Coupling Equation,Lorentzian Force Law,Angular Velocity Equation,Rutherford's Gyroscope Formula
\frac{\mathrm{d}\mathbf{L}}{\mathrm{d}t} = \mathbf{r} \times \mathbf{F} + \mathbf{v} \times \boldsymbol{p}.,torque (Q48103),Torque,Angular Momentum Equation,Gyroscopic Effect Formula,Rotation Dynamics Law,Moment of Force Equation,Cross Product Identity,Rotor Kinematics Relation,Axial Momentum Conservation,Spin-Orbit Interaction Formula,Vortex Dynamics Formula
\tau = (\text{moment arm}) (\text{force}).,force (Q11402),Torque,Moment of Force,Rotational Force,Angular Momentum,Rotary Inertia,Rotational Work,Applied Moment,Mechanical Advantage,Turning Effort,Couple
\tau = (\text{distance to centre}) (\text{force}).,force (Q11402),Centrifugal Force Law,Centripetal Acceleration Theorem,Rotational Inertia Formula,Radius-Force Correlation,Angular Momentum Equation,Central Force Relationship,Orbital Velocity Formula,Radial Force Law,Torque-Momentum Identity,Circular Motion Rule
"W = \int_{\theta_1}^{\theta_2} \tau\ \mathrm{d}\theta,",work (Q42213),Work-Energy Theorem,Torque Integral,Rotational Kinetic Energy Formula,Angular Momentum Integral,Work Done by a Torque Formula,Rotational Kinematics Formula,Tau-W Integral,Rotational Work Formula,Energy of Rotation Formula,Moment of Inertia Integral
"E_{\mathrm{r}} = \tfrac{1}{2}I\omega^2,",kinetic energy (Q46276),Rotational Kinetic Energy,Rotational Energy,Angular Momentum Energy,Centrifugal Potential Energy,Rotational Potential Energy,Inertial Energy,Moment of Inertia Energy,Rotational Work-Energy Theorem,Polar Moment Energy,Angular Velocity Energy
"P = \boldsymbol{\tau} \cdot \boldsymbol{\omega},",power (Q25342),Angular Momentum,Moment of Inertia Tensor,Torque Vector,Rotational Kinetics Equation,Angular Velocity Vector Product,Rotary Kinematics Formula,Omega Tau Product Rule,Angular Momentum Law,Kinetic Energy Rotation Equation,Tau Omega Dot Product
P = \tau \cdot 2 \pi \cdot \nu,power (Q25342),P = (τ × 2π)ν,P = τν/2,P = ρν^2,Power = Torque * Velocity,Power = Torque * Angular Velocity,Power = ν \cdot τ / 2,P = τν^2,Power = Torque * Linear Velocity,P = τν,Power = (Torque × Angular Velocity)
\text{power}  = \frac{\text{force} \cdot \text{linear distance}}{\text{time}} \\[6pt] = \frac{\left(\dfrac{\text{torque}} r \right) \cdot (r \cdot \text{angular speed} \cdot t)} t \\[6pt] = \text{torque} \cdot \text{angular speed}.,power (Q25342),Torque Angular Speed Theorem,Rotational Power Equation,Angular Momentum Formula,Rotational Kinetic Energy Law,Power Rotation Relation,Torque-Speed Correlation,Linear Motion Analogous Equation,Rotational Work-Rate Relationship,Mechanical Power Formula,Angular Speed-Torque Coupling
f = \frac{1}{T}.,frequency (Q11652),Planck's Constant,Boltzmann Constant,Temperature Factor,Thermal Frequency,Gas Constant,Inverse Temperature,Kinetic Energy Scale,Thermal Relaxation Time,Entropy Constant,Thermodynamic Parameter
\frac{\mathrm{d} \theta}{\mathrm{d} t} = \omega = 2 \mathrm{\pi} f,angular velocity (Q161635),Angular Velocity (ω),Angular Frequency (f),Rotational Speed,Circular Speed,Radial Velocity,Spin Rate,Rotational Frequency,Torque Constant,Angular Momentum Parameter,Pulsation Period
y(t) = \sin\left( \theta(t) \right) =  \sin(\omega t) =  \sin(2 \mathrm{\pi} f t),coordinate (N/A),Sine Wave Equation,Harmonic Function,Sinusoidal Signal,Fourier Component,Angular Frequency Equation,Circular Motion Formula,Oscillatory Function,Wavelength-Period Relationship,Periodic Signal Representation,Plane Polar Coordinate Formula
"y(t) = \sin\left( \theta(t,x) \right) = \sin(\omega t + kx)",Coordinate (N/A),D'Alembert's Wave Equation,Sinusoidal Wave Function,Klein-Gordon Equation (degenerate case),Plane Wave Solution,Harmonic Oscillator Equation (restricted),Linear Wave Equation in 2D,Spatially-Periodic Wave Function,Time-Harmonic Wave Equation,Free-Space Wave Propagation Equation,Generalized Traveling Wave
\frac{\mathrm{d} \theta}{\mathrm{d} x} = k,wavenumber (Q192510),Kinematic equation of rotation,Angular acceleration formula,Rotational kinematics equation,Angular velocity derivative,Rate of change of angle with respect to x,Rotation rate equation,θ(x) slope at x = k,Differential equation for rotational motion,Derivative of angular displacement with respect to position,θ(x) speed equation
f = \frac{v}{\lambda}.,frequency (Q11652),Wavelength,Velocity,Wave Number,Speed of Light (assuming v is velocity of light),Angular Frequency,Spatial Frequency,Wavenumber Density,Dispersion Relation,Phase Velocity,Group Velocity
f = \frac{c}{\lambda}.,frequency (Q11652),Wavenumber,Angular Frequency,Cancellation Rate,Wavelength Ratio,Wave Speed Ratio,Frequency-Wavelength Ratio,Wave Number Density,Cutoff Wavenumber,Resonance Frequency,Spatial Periodicity
\displaystyle c=f\lambda,speed of light (Q2111),Planck's Constant,Speed of Light,Wave-Particle Duality Equation,Compton Wavelength Relation,Frequency-Momentum Relation,Quantum Mechanics Formula,Relativistic Energy-Wavelength Equation,Einstein's Mass-Energy Equivalence,Photon Momentum Formula,de Broglie Hypothesis
"\mathbf{R} = \frac 1M \sum_{i=1}^n m_i \mathbf{r}_i,",center of mass (Q2945123),Average Position Vector,Center of Mass,Reduced Mass Formula,Composited Mass Formula,System Center Formula,Mass Averaged Position,Composite Mass Vector,System Reduced Mass,Particle Ensemble Average,Multi-Body Center Of Mass
"\mathbf R = \frac 1M \iiint\limits_{Q}\rho(\mathbf{r}) \mathbf{r} dV,",center of mass (Q2945123),Gauss's Law,Maxwell's Equation,Continuity Equation,Charge Density Formula,Electric Flux Integral,Divergence Theorem,Stokes' Law,Ampere's Law,Poynting Vector Formula,Volume Current Density
\mathbf{R} = \frac{1}{m_1+m_2}(m_1 \mathbf{r}_1 + m_2\mathbf{r}_2).,center of mass (Q2945123),Center of Mass Formula,Reduced Mass Formula,Barycentric Coordinate Formula,Mixture Formula,Combined Momentum Formula,Compound Motion Formula,Particle Position Formula,Relative Position Formula,Composite Mass Formula,Binary System Formula
"\overline{\xi} = \frac 1M \sum_{i=1}^n m_i \xi_i,",center of mass (Q2945123),Average Mass,Total Energy Density,Mean Field Momentum,System Mass Moment,Mass Averaged Value,Reduced Mass Factor,Mass Weighted Sum,Average Momentum,Mass Integrated Quantity,Kinetic Energy Contribution
"\overline{\zeta} = \frac 1M \sum_{i=1}^n m_i \zeta_i,",center of mass (Q2945123),Hurwitz Zeta,Generalized Riemann Zeta,Multivariate Zeta Function,Double Zeta Function,Multiple Zeta Function,Polyzeta Function,Extended Riemann Zeta,Euler-Zagier Double Zeta,Higher-Order Zeta Function,Multi-Riemann Zeta
"\overline{\theta} = \mathrm{atan2}(-\overline{\zeta},-\overline{\xi}) + \pi",center of mass (Q2945123),PolarAngle,AzimuthalAngle,OrientationalDeviation,RotationalOffset,AngularDisplacement,CoordinateFrameShift,PseudopolarCoordinate,RotatedPolarAngle,GeometricOrientation,CartesianoLatitude
x_{com} = x_{max} \frac{ \overline{\theta}}{2 \pi},center of mass (Q2945123),MeanAngularVelocityRatio,AngularVelocityFactor,ComovingVelocityRatio,MaxVelocityFactor,AngularScalingFactor,SpatialVelocityRatio,RadialVelocityFactor,RotationalSpeedRatio,KinematicScaleFactor,CoordinateVelocityRatio
"\mathbf{F} = \iiint\limits_{Q} \mathbf{f}(\mathbf{r})dV =  \iiint\limits_{Q}\rho(\mathbf{r})dV( -g\vec{k}) = -Mg\vec{k},",force (Q11402),Gauss's Law,Superposition Principle,Mass-Force Equation,Gravitational Force Integral,Volume Integral Formula,Charge-Mass Relation,Divergence Theorem,Continuity Equation,Volume Density Formula,Net Force Expression
\mathbf{T} =  \iiint\limits_{Q} (\mathbf{r}-\mathbf{R})\times \mathbf{f}(\mathbf{r})dV = \iiint\limits_{Q} (\mathbf{r}-\mathbf{R})\times   (-g\rho(\mathbf{r})dV\vec{k} )= \left(\iiint\limits_{Q} \rho(\mathbf{r}) (\mathbf{r}-\mathbf{R})dV \right)\times   (-g\vec{k}) .,torque (Q48103),Torque,Moment of Force,Volume Integral of Stress,Bending Moment,Polar Moment,Couple Moment,Riemann Summation of External Forces,Distributed Load Integral,Kinematic Moment Tensor,Mass-Weighted Moment
"\mathbf{r}_i = (\mathbf{r}_i - \mathbf{R}) + \mathbf{R}, \quad \mathbf{v}_i = \frac{d}{dt}(\mathbf{r}_i - \mathbf{R}) + \mathbf{v}.",position (N/A),Galilean Transformation,Relative Motion Equation,Reference Frame Addition,Velocity Update Law,Position Correction Formula,Moving Coordinate System,Non-Inertial Frame Shift,Rotating Frame of Reference,Inertial Frame Conversion,Acceleration Compensation
"\mathbf{p} = \frac{d}{dt}\left(\sum_{i=1}^n m_i (\mathbf{r}_i - \mathbf{R})\right) + \left(\sum_{i=1}^n m_i\right) \mathbf{v},",momentum (Q41273),Momentum,Angular Momentum,Total Linear Momentum,Linear Momentum of a System,Momentum of a Particle in a Field,Center-of-Mass Momentum,Translational Momentum,Kinetic Momentum,Relativistic Momentum,Inertial Momentum
\mathbf{L} = \sum_{i=1}^n m_i (\mathbf{r}_i-\mathbf{R})\times \frac{d}{dt}(\mathbf{r}_i - \mathbf{R}) + \left(\sum_{i=1}^n m_i \right) \left[\mathbf{R} \times \frac{d}{dt}(\mathbf{r}_i - \mathbf{R}) + (\mathbf{r}_i - \mathbf{R}) \times \mathbf{v} \right] + \left(\sum_{i=1}^n m_i \right)\mathbf{R} \times \mathbf{v},angular momentum (Q161254),Angular Momentum,Torque Formula,Moment of Inertia Formula,Rotational Kinetic Energy,Angular Impulse,Newton's Moment of Rotation,Routh-Hurwitz Criterion (related to angular momentum),Euler's Principal Axes Theorem,Gyroscopic Effect Formula,Coriolis Force Formula
"\mathbf{p} = m\mathbf{v},\quad \mathbf{L} = \sum_{i=1}^n m_i (\mathbf{r}_i-\mathbf{R})\times \frac{d}{dt}(\mathbf{r}_i - \mathbf{R}) + \sum_{i=1}^n m_i \mathbf{R} \times \mathbf{v}",momentum (Q41273),Momentum,Angular momentum,Total angular momentum,Linear momentum,Kinetic momentum,Rotational momentum,Orbital momentum,Quantum mechanical momentum,Classical angular momentum operator,Planck-Angstrom momentum
"\mathbf{T}= (\mathbf{r}_1-\mathbf{R})\times\mathbf{F}_1+(\mathbf{r}_2-\mathbf{R})\times\mathbf{F}_2+(\mathbf{r}_3-\mathbf{R})\times\mathbf{F}_3=0,",torque (Q48103),Moller-Truemmer Pair,Triple Product Rule,Moment of Inertia Tensor Equation,Angular Momentum Vector Formula,Torque Equation,Riemann Tensor Identity,Cross Product Expansion Theorem,Angular Velocity Tensor Formula,Rotational Kinematics Equation,Minkowski Tensor Relation
\mathbf{R}^* =-\frac{1}{W} \mathbf{\hat{k}}\times(\mathbf{r}_1\times\mathbf{F}_1+\mathbf{r}_2\times\mathbf{F}_2+\mathbf{r}_3\times\mathbf{F}_3).,center of mass (Q2945123),Biot-Savart Law,Lorentz Force Equation,Right-Hand Rule,Triple Vector Product Formula,Cross Product Formula,Torque Equation,Magnetic Field Equation,RHR (Right Hand Rule) Formula,Maxwell's Stress Tensor Formula,Vector Triple Product Formula
\omega = \frac {2 \pi}{T} = 2\pi f = \frac{d\theta}{dt} \,angular velocity (Q161635),Angular Velocity,Circular Frequency,Radial Frequency,Rotation Rate,Phase Constant,Pulsation (Ω),Revolutions Per Minute,Rotational Speed,Periodic Frequency Ratio,Cyclic Variation
v = \frac{2 \pi r}{T} = \omega r,velocity (Q11465),Circular Frequency Formula,Angular Velocity Relation,Orbital Period Formula,Rotational Speed Equation,Wave Number Formula,Frequency of Rotation,Planetary Orbit Formula,Radian Frequency Relation,Cyclical Motion Equation,Revolutions per Time Formula
\alpha = \frac{d\omega}{dt},acceleration (Q11376),Angular Velocity,Omega Dot,Time Derivative of Angular Velocity,Alpha Dot,Rotational Kinematics Formula,Angular Acceleration,dω/dt,Alpha Dot Formula,Rotational Velocity Equation,Omega Dotted
"\theta = 2 \pi \frac{t}{T} = \omega t\,",velocity (Q11465),angular velocity,angular frequency,omega,theta function,phase angle,cyclic ratio,rotational speed,tidal frequency,harmonic ratio,period ratio
